date,close,volume,open,high,low,,,Day
12/19/2018,160.89,47597670,166,167.45,159.09,,,352
12/18/2018,166.07,33753490,165.38,167.53,164.39,,,351
12/17/2018,163.94,43250420,165.45,168.35,162.73,,,350
12/14/2018,165.48,40620360,169,169.08,165.28,,,347
12/13/2018,170.95,31754210,170.49,172.57,169.55,,,346
12/12/2018,169.1,35474680,170.4,171.92,169.02,,,345
12/11/2018,168.63,45968040,171.66,171.79,167,,,344
12/10/2018,169.6,61759000,165,170.09,163.33,,,343
12/7/2018,168.49,41678680,173.49,174.49,168.3,,,340
12/6/2018,174.72,42704910,171.76,174.78,170.42,,,339
12/4/2018,176.69,41141250,180.95,182.3899,176.27,,,337
12/3/2018,184.82,40537700,184.46,184.94,181.21,,,336
11/30/2018,178.58,39424260,180.29,180.33,177.03,,,333
11/29/2018,179.55,41523580,182.66,182.8,177.7,,,332
11/28/2018,180.94,45941750,176.73,181.29,174.93,,,331
11/27/2018,174.24,41156140,171.51,174.77,170.88,,,330
11/26/2018,174.62,44662320,174.24,174.95,170.26,,,329
11/23/2018,172.29,23623970,174.94,176.595,172.1,,,326
11/21/2018,176.78,31096240,179.73,180.27,176.55,,,324
11/20/2018,176.98,67678680,178.37,181.47,175.51,,,323
11/19/2018,185.86,41626820,190,190.7,184.99,,,322
11/16/2018,193.53,36191330,190.5,194.9695,189.46,,,319
11/15/2018,191.41,46271660,188.39,191.97,186.9,,,318
11/14/2018,186.8,60547340,193.9,194.48,185.93,,,317
11/13/2018,192.23,46725710,191.63,197.18,191.4501,,,316
11/12/2018,194.17,50991030,199,199.85,193.79,,,315
11/9/2018,204.47,34317760,205.55,206.01,202.25,,,312
11/8/2018,208.49,25289270,209.98,210.12,206.75,,,311
11/7/2018,209.95,33291640,205.97,210.06,204.13,,,310
11/6/2018,203.77,31774720,201.92,204.72,201.69,,,309
11/5/2018,201.59,66072170,204.3,204.39,198.17,,,308
11/2/2018,207.48,91046560,209.55,213.65,205.43,,,305
11/1/2018,222.22,52954070,219.05,222.36,216.81,,,304
10/31/2018,218.86,38016810,216.88,220.45,216.62,,,303
10/30/2018,213.3,36487930,211.15,215.18,209.27,,,302
10/29/2018,212.24,45713690,219.19,219.69,206.09,,,301
10/26/2018,216.3,47191700,215.9,220.19,212.67,,,298
10/25/2018,219.8,29027340,217.71,221.38,216.75,,,297
10/24/2018,215.09,39992120,222.6,224.23,214.54,,,296
10/23/2018,222.73,38681170,215.83,223.25,214.7,,,295
10/22/2018,220.65,28751540,219.79,223.36,218.94,,,294
10/19/2018,219.31,32874330,218.06,221.26,217.43,,,291
10/18/2018,216.02,32389280,217.86,219.74,213,,,290
10/17/2018,221.19,22692880,222.3,222.64,219.34,,,289
10/16/2018,222.15,28802550,218.93,222.99,216.7627,,,288
10/15/2018,217.36,30280450,221.16,221.83,217.27,,,287
10/12/2018,222.11,39494770,220.42,222.88,216.84,,,284
10/11/2018,214.45,52902320,214.52,219.5,212.32,,,283
10/10/2018,216.36,41084070,225.46,226.35,216.05,,,282
10/9/2018,226.87,26656630,223.64,227.27,222.2462,,,281
10/8/2018,223.77,28784550,222.21,224.8,220.2,,,280
10/5/2018,224.29,33507770,227.96,228.41,220.58,,,277
10/4/2018,227.99,31961120,230.78,232.35,226.73,,,276
10/3/2018,232.07,28540490,230.05,233.47,229.78,,,275
10/2/2018,229.28,24435010,227.25,230,226.63,,,274
10/1/2018,227.26,23171020,227.95,229.42,226.35,,,273
9/28/2018,225.74,22560440,224.79,225.84,224.02,,,270
9/27/2018,224.95,29729270,223.82,226.44,223.54,,,269
9/26/2018,220.42,23430370,221,223.75,219.76,,,268
9/25/2018,222.19,22811140,219.75,222.82,219.7,,,267
9/24/2018,220.79,27581270,216.82,221.26,216.63,,,266
9/21/2018,217.66,95584080,220.78,221.36,217.29,,,263
9/20/2018,220.03,26388050,220.24,222.28,219.15,,,262
9/19/2018,218.37,26869880,218.5,219.62,215.3,,,261
9/18/2018,218.24,31495630,217.79,221.85,217.12,,,260
9/17/2018,217.88,36810120,222.15,222.95,217.27,,,259
9/14/2018,223.84,31801970,225.75,226.84,222.522,,,256
9/13/2018,226.41,41411350,223.52,228.35,222.57,,,255
9/12/2018,221.07,49118510,224.94,225,219.84,,,254
9/11/2018,223.85,35644510,218.01,224.299,216.56,,,253
9/10/2018,218.33,39194720,220.95,221.85,216.47,,,252
9/7/2018,221.3,37418910,221.85,225.37,220.71,,,249
9/6/2018,223.1,34121240,226.23,227.35,221.3,,,248
9/5/2018,226.87,33290830,228.99,229.67,225.1,,,247
9/4/2018,228.36,27363960,228.41,229.18,226.63,,,246
8/31/2018,227.63,43177540,226.51,228.87,226,,,242
8/30/2018,225.03,48696960,223.25,228.26,222.4,,,241
8/29/2018,222.98,27074260,220.15,223.49,219.41,,,240
8/28/2018,219.7,22751390,219.01,220.54,218.92,,,239
8/27/2018,217.94,20400770,217.15,218.74,216.33,,,238
8/24/2018,216.16,18457720,216.6,216.9,215.11,,,235
8/23/2018,215.49,18505780,214.65,217.05,214.6,,,234
8/22/2018,215.05,18965930,214.1,216.36,213.84,,,233
8/21/2018,215.04,25682700,216.8,217.19,214.025,,,232
8/20/2018,215.46,30149410,218.1,219.18,215.11,,,231
8/17/2018,217.58,35034410,213.44,217.95,213.16,,,228
8/16/2018,213.32,27595310,211.75,213.8121,211.47,,,227
8/15/2018,210.24,28595230,209.22,210.74,208.33,,,226
8/14/2018,209.75,20679270,210.155,210.56,208.26,,,225
8/13/2018,208.87,25864510,207.7,210.952,207.7,,,224
8/10/2018,207.53,24592460,207.36,209.1,206.67,,,221
8/9/2018,208.88,23389530,207.28,209.78,207.2,,,220
8/8/2018,207.25,22493750,206.05,207.81,204.52,,,219
8/7/2018,207.11,25525650,209.32,209.5,206.76,,,218
8/6/2018,209.07,25396100,208,209.25,207.07,,,217
8/3/2018,207.99,33408050,207.03,208.74,205.4803,,,214
8/2/2018,207.39,62317430,200.58,208.38,200.35,,,213
8/1/2018,201.5,67812280,199.13,201.76,197.31,,,212
7/31/2018,190.29,37847260,190.3,192.14,189.34,,,211
7/30/2018,189.91,20912890,191.9,192.2,189.07,,,210
7/27/2018,190.98,23975350,194.99,195.19,190.1,,,207
7/26/2018,194.21,19005150,194.61,195.96,193.61,,,206
7/25/2018,194.82,16553500,193.06,194.85,192.43,,,205
7/24/2018,193,18680930,192.45,193.6601,192.05,,,204
7/23/2018,191.61,15955820,190.68,191.96,189.56,,,203
7/20/2018,191.44,20670830,191.78,192.43,190.17,,,200
