date,close,volume,open,high,low,,,Day
12/29/2017,169.23,25938760,170.52,170.59,169.22,,,361
12/28/2017,171.08,16412270,171,171.85,170.48,,,360
12/27/2017,170.6,21477380,170.1,170.78,169.71,,,359
12/26/2017,170.57,33113340,170.8,171.47,169.679,,,358
12/22/2017,175.01,16339690,174.68,175.424,174.5,,,354
12/21/2017,175.01,20848660,174.17,176.02,174.1,,,353
12/20/2017,174.35,23451420,174.87,175.42,173.25,,,352
12/19/2017,174.54,27393660,175.03,175.39,174.09,,,351
12/18/2017,176.42,29385650,174.88,177.2,174.86,,,350
12/15/2017,173.97,40122100,173.63,174.17,172.46,,,347
12/14/2017,172.22,20442740,172.4,173.13,171.65,,,346
12/13/2017,172.27,23402510,172.5,173.54,172,,,345
12/12/2017,171.7,19088170,172.15,172.39,171.461,,,344
12/11/2017,172.67,34260890,169.2,172.89,168.79,,,343
12/8/2017,169.37,23285760,170.49,171,168.82,,,340
12/7/2017,169.32,25656110,169.03,170.44,168.91,,,339
12/6/2017,169.01,28397810,167.5,170.2047,166.46,,,338
12/5/2017,169.64,27315530,169.06,171.52,168.4,,,337
12/4/2017,169.8,32512580,172.48,172.62,169.63,,,336
12/1/2017,171.05,39735110,169.95,171.67,168.5,,,333
11/30/2017,171.85,41484540,170.43,172.14,168.44,,,332
11/29/2017,169.48,41459120,172.63,172.92,167.16,,,331
11/28/2017,173.07,26387240,174.3,174.87,171.86,,,330
11/27/2017,174.09,20591090,175.05,175.08,173.34,,,329
11/24/2017,174.97,14026670,175.1,175.5,174.6459,,,326
11/22/2017,174.96,25558680,173.36,175,173.05,,,324
11/21/2017,173.14,25047130,170.78,173.7,170.78,,,323
11/20/2017,169.98,16041550,170.29,170.56,169.56,,,322
11/17/2017,170.15,21884010,171.04,171.39,169.64,,,319
11/16/2017,171.1,23598650,171.18,171.87,170.3,,,318
11/15/2017,169.08,28998220,169.97,170.3197,168.38,,,317
11/14/2017,171.34,24683350,173.04,173.48,171.18,,,316
11/13/2017,173.97,16956290,173.5,174.5,173.4,,,315
